Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
20-Sep-24,EQ,279,293,278.95,278.85,289.85,290.5,288.29,293,97.75,"8,44,16,068","24,33,64,78,716.40","4,42,729"
19-Sep-24,EQ,276.5,280.95,272.25,275.85,278.95,278.85,277.19,286.45,97.75,"4,82,25,291","13,36,74,62,603.75","3,21,377"
18-Sep-24,EQ,270.65,277.85,269.9,270.75,275.25,275.85,274.73,286.45,97.75,"3,02,25,926","8,30,38,90,608.35","2,21,991"
17-Sep-24,EQ,277.65,278,270,277.7,270.65,270.75,272.72,286.45,97.75,"3,35,15,464","9,14,02,09,068.80","2,49,033"
16-Sep-24,EQ,274.5,282,269.2,272.9,278,277.7,273.97,286.45,97.75,"4,77,92,145","13,09,37,01,990.45","2,96,451"
13-Sep-24,EQ,285.4,286.45,271.1,283.9,273.5,272.9,277.55,286.45,96.5,"8,21,50,759","22,80,08,40,116.80","5,07,677"
12-Sep-24,EQ,276.3,286,274.3,271.75,283.3,283.9,281.66,286,96.5,"10,16,91,858","28,64,28,42,848.40","5,88,153"
11-Sep-24,EQ,268.25,281.5,268.1,267.7,272.4,271.75,275.91,281.5,96.5,"12,18,83,781","33,62,85,36,946.40","5,51,525"
10-Sep-24,EQ,265.85,270.3,259.55,263.2,267.15,267.7,265.56,280.9,96.5,"6,86,58,961","18,23,31,26,456.25","3,74,474"
9-Sep-24,EQ,260,265,256.3,259.95,262.9,263.2,261.26,280.9,96.5,"5,85,34,619","15,29,27,64,488.40","3,48,255"
6-Sep-24,EQ,255,262.15,254.25,254.85,259.9,259.95,259.4,280.9,96.5,"7,57,00,809","19,63,69,99,927.35","4,01,289"
5-Sep-24,EQ,248.05,261.6,246,242.85,254.85,254.85,254.65,280.9,96.5,"11,56,27,516","29,44,48,77,219.85","5,41,758"
4-Sep-24,EQ,244.45,245,240.4,247.7,243.75,242.85,242.66,280.9,96.5,"5,87,62,234","14,25,93,74,313.80","3,49,556"
3-Sep-24,EQ,246.75,252.95,245.4,244.45,246.7,247.7,248.91,280.9,96.5,"6,65,38,683","16,56,21,72,918.80","3,51,522"
2-Sep-24,EQ,252,252.3,241.85,250.53,245.1,244.45,245.44,280.9,96.5,"5,58,33,057","13,70,34,06,660.10","3,68,854"
30-Aug-24,EQ,253.5,255.45,248.81,252.34,251.18,250.53,251.68,280.9,91.75,"5,01,57,287","12,62,36,98,289.47","4,68,769"
29-Aug-24,EQ,254.78,256.35,248.51,253.04,251.75,252.34,251.58,280.9,91.75,"3,77,67,471","9,50,15,87,918.82","2,98,000"
28-Aug-24,EQ,257,257.74,252.15,256.05,253,253.04,254.8,280.9,91.75,"2,86,03,253","7,28,80,71,782.22","2,81,460"
